00AM_all_Crimes,	76628
01AM_all_Crimes,	46510
01PM_all_Crimes,	72645
02AM_all_Crimes,	39740
02PM_all_Crimes,	77990
03AM_all_Crimes,	32513
03PM_all_Crimes,	84355
04AM_all_Crimes,	24125
04PM_all_Crimes,	79100
05AM_all_Crimes,	20756
05PM_all_Crimes,	78335
06AM_all_Crimes,	25591
06PM_all_Crimes,	85131
07AM_all_Crimes,	35819
07PM_all_Crimes,	88805
08AM_all_Crimes,	53699
08PM_all_Crimes,	85373
09AM_all_Crimes,	70996
09PM_all_Crimes,	81306
10AM_all_Crimes,	67521
10PM_all_Crimes,	80733
11AM_all_Crimes,	70583
11PM_all_Crimes,	65267
12PM_all_Crimes,	87731
