PUBLIC PEACE VIOLATION,PM10,	2
ROBBERY,AM02,	1
ROBBERY,AM04,	2
ROBBERY,AM05,	1
ROBBERY,AM07,	1
ROBBERY,AM10,	1
ROBBERY,AM12,	2
ROBBERY,PM01,	2
ROBBERY,PM02,	2
ROBBERY,PM03,	2
ROBBERY,PM04,	1
ROBBERY,PM05,	2
ROBBERY,PM06,	6
ROBBERY,PM07,	1
ROBBERY,PM09,	1
ROBBERY,PM10,	3
ROBBERY,PM11,	1
ROBBERY,PM12,	2
SEX OFFENSE,AM02,	1
SEX OFFENSE,PM01,	1
SEX OFFENSE,PM02,	2
SEX OFFENSE,PM03,	1
SEX OFFENSE,PM06,	1
STALKING,AM08,	1
STALKING,AM10,	1
STALKING,PM03,	1
THEFT,AM01,	2
THEFT,AM02,	2
THEFT,AM03,	7
THEFT,AM04,	2
THEFT,AM05,	1
THEFT,AM06,	2
THEFT,AM07,	9
THEFT,AM08,	15
THEFT,AM09,	22
THEFT,AM10,	72
THEFT,AM11,	141
THEFT,AM12,	8
THEFT,PM01,	228
THEFT,PM02,	264
THEFT,PM03,	280
THEFT,PM04,	262
THEFT,PM05,	292
THEFT,PM06,	269
THEFT,PM07,	183
THEFT,PM08,	106
THEFT,PM09,	34
THEFT,PM10,	18
THEFT,PM11,	6
THEFT,PM12,	176
WEAPONS VIOLATION,AM08,	1
WEAPONS VIOLATION,PM05,	1
